candidate_id,rank,score,reasoning
CAND_0002025,1,0.7276,"Senior AI Engineer with 5.9yr at Apple; relevant skills: FAISS, OpenSearch, Weaviate; strong engagement (80% response rate); available immediately (notice: 30d); active GitHub (score: 97)."
CAND_0077337,2,0.7124,"Staff Machine Learning Engineer with 7.0yr at Paytm; relevant skills: Semantic Search, pgvector, Pinecone; strong engagement (95% response rate); active GitHub (score: 68)."
CAND_0011687,3,0.7108,"Senior NLP Engineer with 7.8yr at Niramai; relevant skills: OpenSearch, FAISS, Embeddings; strong engagement (89% response rate); available immediately (notice: 15d); active GitHub (score: 76)."
CAND_0081846,4,0.7059,"Lead AI Engineer with 6.7yr at Razorpay; relevant skills: Information Retrieval, pgvector, Elasticsearch; strong engagement (73% response rate); available immediately (notice: 30d)."
CAND_0018499,5,0.7029,"Senior Machine Learning Engineer with 7.2yr at Zomato; relevant skills: Deep Learning, Weaviate, Recommendation Systems; available immediately (notice: 15d); active GitHub (score: 95)."
CAND_0055905,6,0.7006,"Senior Machine Learning Engineer with 8.1yr at Flipkart; relevant skills: Elasticsearch, Hugging Face Transformers, LLMs; strong engagement (87% response rate); available immediately (notice: 30d)."
CAND_0086022,7,0.6940,"Senior Applied Scientist with 5.3yr at Sarvam AI; relevant skills: Vector Search, Recommendation Systems, Deep Learning; available immediately (notice: 0d); active GitHub (score: 75)."
CAND_0071974,8,0.6921,"Senior AI Engineer with 7.8yr at Netflix; relevant skills: Weaviate, Pinecone, Machine Learning; strong engagement (76% response rate); active GitHub (score: 83)."
CAND_0046525,9,0.6906,"Senior Machine Learning Engineer with 6.1yr at Genpact AI; relevant skills: Elasticsearch, Machine Learning, Information Retrieval; strong engagement (88% response rate)."
CAND_0051292,10,0.6856,"Applied ML Engineer with 5.2yr at Freshworks; relevant skills: pgvector, FAISS, LLMs; available immediately (notice: 30d); active GitHub (score: 62)."
CAND_0052682,11,0.6856,"NLP Engineer with 6.6yr at Aganitha; relevant skills: Semantic Search, FAISS, PyTorch; strong engagement (88% response rate); available immediately (notice: 30d); active GitHub (score: 72)."
CAND_0079064,12,0.6783,"Senior Data Scientist with 5.2yr at Niramai; relevant skills: OpenSearch, NLP, Semantic Search; strong engagement (91% response rate); long notice period (120d) reduces fit."
CAND_0075249,13,0.6770,"Applied ML Engineer with 6.2yr at Zomato; relevant skills: Sentence Transformers, Milvus, Machine Learning; strong engagement (82% response rate)."
CAND_0088025,14,0.6765,"Staff Machine Learning Engineer with 8.6yr at Yellow.ai; relevant skills: Pinecone, LLMs, Hugging Face Transformers; strong engagement (83% response rate); active GitHub (score: 75)."
CAND_0046064,15,0.6758,"Senior NLP Engineer with 8.9yr at Salesforce; relevant skills: Pinecone, OpenSearch, Deep Learning; strong engagement (78% response rate); available immediately (notice: 30d); active GitHub (score: 67)."
CAND_0043860,16,0.6735,"Junior ML Engineer with 6.1yr at Aganitha; relevant skills: pgvector, Semantic Search, Information Retrieval; strong engagement (81% response rate); available immediately (notice: 30d)."
CAND_0007009,17,0.6698,"Recommendation Systems Engineer with 7.9yr at Wysa; relevant skills: Weaviate, Embeddings, LLMs; available immediately (notice: 30d); active GitHub (score: 69)."
CAND_0037160,18,0.6689,"Data Scientist with 6.0yr at Haptik; relevant skills: Deep Learning, LLMs, Weaviate; strong engagement (74% response rate); available immediately (notice: 30d)."
CAND_0080766,19,0.6672,"Staff Machine Learning Engineer with 8.8yr at Salesforce; relevant skills: Search Backend, Search & Discovery, Search Infrastructure; available immediately (notice: 0d)."
CAND_0079387,20,0.6659,"AI Engineer with 6.9yr at Microsoft; relevant skills: Recommendation Systems, Sentence Transformers, Vector Search; strong engagement (81% response rate); available immediately (notice: 30d); active GitHub (score: 64)."
CAND_0064326,21,0.6636,"Search Engineer with 7.6yr at Sarvam AI; relevant skills: PyTorch, Milvus, Deep Learning; strong engagement (94% response rate); active GitHub (score: 61)."
CAND_0008425,22,0.6627,"Senior NLP Engineer with 7.8yr at Ola; relevant skills: Qdrant, pgvector, Sentence Transformers; active GitHub (score: 53)."
CAND_0053591,23,0.6617,"AI Engineer with 5.3yr at Ola; relevant skills: Embeddings, Milvus, OpenSearch; strong engagement (81% response rate); active GitHub (score: 76)."
CAND_0029367,24,0.6594,"Senior Data Scientist with 5.7yr at Rephrase.ai; relevant skills: FAISS, Sentence Transformers, RAG; strong engagement (77% response rate)."
CAND_0081686,25,0.6594,"Search Engineer with 6.0yr at Netflix; relevant skills: Machine Learning, Embeddings, FAISS; strong engagement (91% response rate)."
CAND_0092255,26,0.6590,"ML Engineer with 5.2yr at InMobi; relevant skills: Machine Learning, PyTorch, Weaviate; active GitHub (score: 78)."
CAND_0005649,27,0.6582,"Senior Data Scientist with 7.4yr at Sarvam AI; relevant skills: Deep Learning, Fine-tuning LLMs, Recommendation Systems; active GitHub (score: 81)."
CAND_0083307,28,0.6581,"Search Engineer with 7.8yr at CRED; relevant skills: Embeddings, Pinecone, Weaviate; strong engagement (70% response rate); long notice period (120d) reduces fit; active GitHub (score: 69)."
CAND_0041669,29,0.6575,"Recommendation Systems Engineer with 8.0yr at CRED; relevant skills: FAISS, Milvus, Semantic Search; strong engagement (77% response rate); active GitHub (score: 71)."
CAND_0057563,30,0.6561,"NLP Engineer with 6.8yr at Locobuzz; relevant skills: Deep Learning, RAG, Elasticsearch; strong engagement (83% response rate)."
CAND_0005260,31,0.6556,"Senior NLP Engineer with 5.2yr at Netflix; relevant skills: Information Retrieval, Semantic Search, Deep Learning; strong engagement (86% response rate)."
CAND_0010685,32,0.6546,"NLP Engineer with 6.7yr at Rephrase.ai; relevant skills: Deep Learning, PyTorch, Information Retrieval; strong engagement (83% response rate); available immediately (notice: 30d)."
CAND_0058575,33,0.6533,"AI Engineer with 5.8yr at Krutrim; relevant skills: Machine Learning, Recommendation Systems, Pinecone."
CAND_0030031,34,0.6508,"AI Engineer with 5.7yr at Microsoft; relevant skills: Information Retrieval, PyTorch, NLP; strong engagement (94% response rate); available immediately (notice: 30d)."
CAND_0053695,35,0.6504,"Recommendation Systems Engineer with 5.8yr at Meesho; relevant skills: Pinecone, Recommendation Systems, pgvector; available immediately (notice: 15d); active GitHub (score: 68)."
CAND_0044222,36,0.6503,"AI Engineer with 7.7yr at PolicyBazaar; relevant skills: Vector Search, OpenSearch, Qdrant."
CAND_0020877,37,0.6483,"Applied ML Engineer with 5.1yr at CRED; relevant skills: Elasticsearch, PyTorch, OpenSearch; active GitHub (score: 74)."
CAND_0068811,38,0.6472,"Applied ML Engineer with 8.0yr at Freshworks; relevant skills: Vector Search, Qdrant, Embeddings; available immediately (notice: 30d)."
CAND_0086151,39,0.6468,"Recommendation Systems Engineer with 7.7yr at Wysa; relevant skills: Recommendation Systems, Qdrant, OpenSearch; long notice period (120d) reduces fit; active GitHub (score: 52)."
CAND_0030348,40,0.6466,"Machine Learning Engineer with 4.5yr at BYJU'S; relevant skills: Deep Learning, PyTorch, Embeddings."
CAND_0040887,41,0.6462,"Machine Learning Engineer with 4.7yr at Netflix; relevant skills: FAISS, Milvus, Deep Learning; strong engagement (84% response rate); available immediately (notice: 15d)."
CAND_0078002,42,0.6445,"Machine Learning Engineer with 6.3yr at Meta; relevant skills: pgvector, NLP, Hugging Face Transformers; strong engagement (86% response rate); active GitHub (score: 51)."
CAND_0044855,43,0.6434,"Senior Data Scientist with 6.6yr at Flipkart; relevant skills: Hugging Face Transformers, OpenSearch, Information Retrieval."
CAND_0066376,44,0.6430,"Applied ML Engineer with 5.7yr at Dream11; relevant skills: Recommendation Systems, LLMs, Fine-tuning LLMs."
CAND_0075574,45,0.6404,"Machine Learning Engineer with 5.7yr at Haptik; relevant skills: Hugging Face Transformers, pgvector, Weaviate."
CAND_0077285,46,0.6403,"Recommendation Systems Engineer with 5.5yr at Nykaa; relevant skills: Pinecone, Sentence Transformers, Embeddings; active GitHub (score: 76)."
CAND_0010257,47,0.6392,"Senior Data Scientist with 6.5yr at Google; relevant skills: Milvus, OpenSearch, Qdrant; strong engagement (72% response rate); long notice period (120d) reduces fit."
CAND_0060054,48,0.6392,"AI Engineer with 6.4yr at Mad Street Den; relevant skills: Weaviate, FAISS, Elasticsearch; strong engagement (86% response rate); available immediately (notice: 15d)."
CAND_0096172,49,0.6391,"NLP Engineer with 5.2yr at Krutrim; relevant skills: OpenSearch, Elasticsearch, Semantic Search; active GitHub (score: 65)."
CAND_0091909,50,0.6384,"Machine Learning Engineer with 6.9yr at Rephrase.ai; relevant skills: LLMs, Pinecone, Qdrant."
CAND_0094759,51,0.6316,"Lead AI Engineer with 8.6yr at Meta; relevant skills: Hugging Face Transformers, Semantic Search, Qdrant; low response rate (11%) is a concern; available immediately (notice: 30d); active GitHub (score: 76)."
CAND_0042506,52,0.6312,"Search Engineer with 4.2yr at Verloop.io; relevant skills: Semantic Search, Fine-tuning LLMs, Information Retrieval; available immediately (notice: 15d); active GitHub (score: 64)."
CAND_0054123,53,0.6310,"Applied ML Engineer with 4.7yr at Meta; relevant skills: pgvector, Weaviate, Qdrant; strong engagement (87% response rate); active GitHub (score: 72)."
CAND_0028793,54,0.6307,"Search Engineer with 7.2yr at Google; relevant skills: Embeddings, Information Retrieval, PyTorch; long notice period (120d) reduces fit; active GitHub (score: 83)."
CAND_0033445,55,0.6305,"ML Engineer with 6.8yr at Vedantu; relevant skills: Deep Learning, Information Retrieval, pgvector; strong engagement (94% response rate); available immediately (notice: 30d)."
CAND_0039383,56,0.6303,"Applied ML Engineer with 7.1yr at Meesho; relevant skills: FAISS, Recommendation Systems, Hugging Face Transformers; active GitHub (score: 86)."
CAND_0070398,57,0.6300,"Machine Learning Engineer with 7.2yr at Genpact AI; relevant skills: RAG, FAISS, Embeddings; long notice period (120d) reduces fit; active GitHub (score: 63)."
CAND_0033861,58,0.6299,"Senior NLP Engineer with 8.0yr at Mad Street Den; relevant skills: Weaviate, LLMs, Machine Learning; low response rate (16%) is a concern; available immediately (notice: 30d)."
CAND_0030953,59,0.6294,"Search Engineer with 7.8yr at Nykaa; relevant skills: Qdrant, Hugging Face Transformers, pgvector."
CAND_0026532,60,0.6288,"Recommendation Systems Engineer with 4.8yr at Zomato; relevant skills: pgvector, Embeddings, Semantic Search."
CAND_0074225,61,0.6255,"Machine Learning Engineer with 4.3yr at Unacademy; relevant skills: Recommendation Systems, Semantic Search, Elasticsearch; strong engagement (91% response rate); long notice period (120d) reduces fit; active GitHub (score: 54)."
CAND_0037944,62,0.6253,"Senior Data Scientist with 4.9yr at Vedantu; relevant skills: Vector Search, Machine Learning, OpenSearch; available immediately (notice: 30d); active GitHub (score: 83)."
CAND_0069905,63,0.6252,"Applied ML Engineer with 6.6yr at Sarvam AI; relevant skills: Recommendation Systems, Sentence Transformers, Hugging Face Transformers; strong engagement (78% response rate)."
CAND_0007412,64,0.6233,"Applied ML Engineer with 7.4yr at Zoho; relevant skills: Pinecone, Milvus, PyTorch; strong engagement (76% response rate); long notice period (120d) reduces fit."
CAND_0096142,65,0.6225,"Applied ML Engineer with 5.0yr at upGrad; relevant skills: Weaviate, Pinecone, RAG; strong engagement (84% response rate); long notice period (120d) reduces fit; active GitHub (score: 80)."
CAND_0007411,66,0.6224,"Senior Machine Learning Engineer with 8.0yr at Amazon; relevant skills: OpenSearch, Fine-tuning LLMs, Vector Search; low response rate (12%) is a concern; available immediately (notice: 15d); active GitHub (score: 90)."
CAND_0044883,67,0.6223,"AI Engineer with 6.3yr at Mad Street Den; relevant skills: Embeddings, Fine-tuning LLMs, Deep Learning; strong engagement (84% response rate); active GitHub (score: 70)."
CAND_0049896,68,0.6212,"Search Engineer with 7.3yr at Unacademy; relevant skills: Sentence Transformers, PyTorch, Information Retrieval."
CAND_0042029,69,0.6203,"Senior Data Scientist with 6.5yr at Flipkart; relevant skills: PyTorch, NLP, RAG; active GitHub (score: 79)."
CAND_0013393,70,0.6191,"ML Engineer with 5.3yr at Freshworks; relevant skills: Embeddings, Pinecone, Qdrant."
CAND_0079284,71,0.6188,"Machine Learning Engineer with 4.9yr at Google; relevant skills: Recommendation Systems, Qdrant, Fine-tuning LLMs; strong engagement (79% response rate); available immediately (notice: 30d)."
CAND_0054100,72,0.6176,"Junior ML Engineer with 6.0yr at Zoho; relevant skills: Vector Search, Semantic Search, Deep Learning; strong engagement (79% response rate); active GitHub (score: 73)."
CAND_0041568,73,0.6160,"Search Engineer with 5.2yr at Haptik; relevant skills: Weaviate, Vector Search, Semantic Search."
CAND_0061339,74,0.6158,"Search Engineer with 4.2yr at Rephrase.ai; relevant skills: Information Retrieval, Milvus, Vector Search; strong engagement (90% response rate); active GitHub (score: 86)."
CAND_0004402,75,0.6133,"AI Research Engineer with 6.0yr at Yellow.ai; relevant skills: OpenSearch, PyTorch, Qdrant; strong engagement (83% response rate)."
CAND_0041611,76,0.6112,"Staff Machine Learning Engineer with 6.4yr at Locobuzz; relevant skills: PyTorch, Qdrant, NLP; low response rate (7%) is a concern; available immediately (notice: 30d)."
CAND_0013613,77,0.6101,"Machine Learning Engineer with 4.7yr at Adobe; relevant skills: Weaviate, Sentence Transformers, Fine-tuning LLMs; strong engagement (73% response rate); active GitHub (score: 67)."
CAND_0032216,78,0.6094,"ML Engineer with 6.1yr at upGrad; relevant skills: Information Retrieval, PyTorch, Qdrant; available immediately (notice: 30d)."
CAND_0064888,79,0.6088,"ML Engineer with 5.8yr at Verloop.io; relevant skills: Embeddings, pgvector, Elasticsearch; strong engagement (92% response rate); available immediately (notice: 30d)."
CAND_0017960,80,0.6082,"Recommendation Systems Engineer with 7.7yr at Nykaa; relevant skills: Hugging Face Transformers, Machine Learning, Qdrant; strong engagement (72% response rate); active GitHub (score: 92)."
CAND_0015582,81,0.6047,"ML Engineer with 4.4yr at Genpact AI; relevant skills: Qdrant, Sentence Transformers, Embeddings; strong engagement (82% response rate); long notice period (120d) reduces fit."
CAND_0072688,82,0.6043,"Data Scientist with 6.9yr at Niramai; relevant skills: Milvus, Deep Learning, Semantic Search; strong engagement (87% response rate)."
CAND_0075439,83,0.6029,"Machine Learning Engineer with 4.3yr at Flipkart; relevant skills: Elasticsearch, OpenSearch, Vector Search; available immediately (notice: 30d); active GitHub (score: 66)."
CAND_0012837,84,0.6028,"Junior ML Engineer with 6.4yr at Sarvam AI; relevant skills: Vector Search, Weaviate, LLMs; strong engagement (81% response rate)."
CAND_0098780,85,0.6000,"AI Research Engineer with 5.9yr at Zomato; relevant skills: Semantic Search, Sentence Transformers, Milvus."
CAND_0071939,86,0.5974,"Data Scientist with 6.4yr at Krutrim; relevant skills: Elasticsearch, OpenSearch, Embeddings; available immediately (notice: 30d)."
CAND_0078508,87,0.5962,"AI Research Engineer with 5.2yr at Rephrase.ai; relevant skills: Sentence Transformers, LLMs, Embeddings; available immediately (notice: 30d)."
CAND_0074123,88,0.5921,"Data Scientist with 6.9yr at CRED; relevant skills: pgvector, NLP, Hugging Face Transformers; available immediately (notice: 30d)."
CAND_0025109,89,0.5895,"Data Scientist with 4.5yr at Nykaa; relevant skills: Information Retrieval, Machine Learning, Qdrant."
CAND_0089552,90,0.5892,"Machine Learning Engineer with 6.0yr at Netflix; relevant skills: Weaviate, Qdrant, Semantic Search; long notice period (120d) reduces fit."
CAND_0010149,91,0.5875,"ML Engineer with 6.9yr at Glance; relevant skills: Milvus, Vector Search, Elasticsearch; strong engagement (82% response rate)."
CAND_0011432,92,0.5845,"Senior Data Scientist with 7.6yr at Amazon; relevant skills: OpenSearch, pgvector, Machine Learning."
CAND_0040117,93,0.5845,"Recommendation Systems Engineer with 6.5yr at PhonePe; relevant skills: Embeddings, RAG, FAISS; available immediately (notice: 15d)."
CAND_0019159,94,0.5834,"ML Engineer with 6.1yr at Genpact AI; relevant skills: Vector Search, Machine Learning, Qdrant; strong engagement (75% response rate)."
CAND_0092278,95,0.5793,"Senior NLP Engineer with 6.8yr at Microsoft; relevant skills: Machine Learning, Hugging Face Transformers, pgvector; low response rate (7%) is a concern."
CAND_0003791,96,0.5760,"ML Engineer with 6.6yr at Meesho; relevant skills: LLMs, Hugging Face Transformers, PyTorch; active GitHub (score: 58)."
CAND_0049540,97,0.5751,"ML Engineer with 6.8yr at Saarthi.ai; relevant skills: pgvector, Deep Learning, Sentence Transformers; strong engagement (86% response rate)."
CAND_0000666,98,0.5732,"Data Scientist with 6.5yr at PhonePe; relevant skills: Sentence Transformers, Weaviate, Deep Learning; low response rate (29%) is a concern."
CAND_0046459,99,0.5732,"AI Research Engineer with 4.5yr at upGrad; relevant skills: Qdrant, Semantic Search, Machine Learning; strong engagement (84% response rate); available immediately (notice: 30d)."
CAND_0004131,100,0.5713,"Junior ML Engineer with 6.8yr at Flipkart; relevant skills: Information Retrieval, PyTorch, pgvector; long notice period (120d) reduces fit; active GitHub (score: 56)."
